"year","mm-dd","location","parameter","unit","datatype","value"
2024,"4-11","FPT","flow","CFS","Flow",30431.458
2024,"4-12","FPT","flow","CFS","Flow",30026.208
2024,"4-13","FPT","flow","CFS","Flow",30792.417
2024,"4-14","FPT","flow","CFS","Flow",31315.875
2024,"4-15","FPT","flow","CFS","Flow",31555.333
2024,"4-16","FPT","flow","CFS","Flow",32661.333
2024,"4-17","FPT","flow","CFS","Flow",33198.75
2024,"4-18","FPT","flow","CFS","Flow",32996.167
2024,"4-19","FPT","flow","CFS","Flow",32099.708
2024,"4-20","FPT","flow","CFS","Flow",30825.625
2024,"4-21","FPT","flow","CFS","Flow",29250.292
2024,"4-22","FPT","flow","CFS","Flow",28403.667
2024,"4-23","FPT","flow","CFS","Flow",28440.25
2024,"4-24","FPT","flow","CFS","Flow",29704.667
2024,"4-25","FPT","flow","CFS","Flow",32257.25
2024,"4-26","FPT","flow","CFS","Flow",33511.625
2024,"4-27","FPT","flow","CFS","Flow",33063
2024,"4-28","FPT","flow","CFS","Flow",31629.125
2024,"4-29","FPT","flow","CFS","Flow",29760.083
2024,"4-30","FPT","flow","CFS","Flow",27636.083
2024,"5-1","FPT","flow","CFS","Flow",25627.167
2024,"5-2","FPT","flow","CFS","Flow",23830.833
2024,"5-3","FPT","flow","CFS","Flow",22226.583
2024,"5-4","FPT","flow","CFS","Flow",21053.042
2024,"5-5","FPT","flow","CFS","Flow",23716.667
2024,"5-6","FPT","flow","CFS","Flow",26256.375
2024,"5-7","FPT","flow","CFS","Flow",28448.042
2024,"5-8","FPT","flow","CFS","Flow",29577.375
2024,"5-9","FPT","flow","CFS","Flow",29470.292
